"indicator","ISO Country code","GDP ($ USD billions PPP) 2018","GDP ($ USD billions PPP) 2019","GDP ($ USD billions PPP) 2020","GDP ($ USD billions PPP) 2021","GDP per capita in $ (PPP) 2018","GDP per capita in $ (PPP) 2019","GDP per capita in $ (PPP) 2020","GDP per capita in $ (PPP) 2021","health expenditure % of GDP 2014","health expenditure % of GDP 2015","health expenditure % of GDP 2016","health expenditure % of GDP 2017","health expenditure % of GDP 2018","health expenditure % of GDP 2019","health expenditure % of GDP 2020","health expenditure % of GDP 2021","health expenditure % of GDP 2021 or latest","health expenditure per person 2015","health expenditure per person 2018","health expenditure per person 2019","unemployment (%) 2018","unemployment (%) 2021","Military Spending as % of GDP 2021","Military Spending as % of GDP 2019"
"Burkina Faso","BFA","41.80","44.20","45.10","48.20","2,168","2,267","2,274","2,462","4.05","3.67","0","5.63","5.49","5.70","5.52","0","5.52","96","40.30","42.30","3","4.76","2.89%","2.40%"
"Burundi","BDI","8.50","8.70","8.70","8.80","780","783","771","793","6.78","6.37","4.69","4.76","5.08","5.35","5.04","0","5.04","64","22.40","20.60","1.60","1.79","1.92%","1.80%"
"Cabo Verde","CPV","3.70","3.90","3.40","3.60","7,028","7,475","6,376","7,028","4.96","5.27","5.29","5.18","5.37","4.73","7.58","0","7.58","310","190.50","177.90","10.50","0","0.00%","0.00%"
"Cambodia","KHM","67.60","72.40","70.10","72.20","4,259","4,574","4,423","4,683","1.91","2.60","2.80","3.20","2.16","0","0","0","2.16","210","92.90","113.30","0.30","15.42","2.32%","2.30%"
"Cameroon","CMR","93.60","96.90","97.30","100.70","3,801","3,901","3,867","4,064","2.58","2.66","2.56","3.06","3.03","3.08","3.17","0","3.17","163","53.20","54","4.50","0.61","1.02%","1.10%"
"Canada","CAN","1,814.8","1,848.9","1,752.2","1,832.1","49,993","49,299","46,572","52,085","0","0","0","0","0","0","0","0","0","4,600","5,018.7","5,048.4","7.10","3.87","1.32%","1.30%"
"Central African Republic","CAF","4.40","4.50","4.50","4.60","955","986","989","1,021","2.22","1.91","1.75","1.75","1.57","1.77","2.17","0","2.17","32","53.70","37.20","6.90","7.51","1.86%","1.50%"
"Chad","TCD","24.40","25.20","24.80","24.50","1,614","1,646","1,592","1,591","2.60","2.40","2.30","2.45","2.26","2.37","2.91","0","2.91","100","29.70","29.90","5.80","1.88","2.79%","2.20%"
"Chile","CHL","468.90","472.50","444.20","496.10","25,527","25,323","25,089","29,104","4.73","4.88","5.34","5.42","5.43","0","0","0","5.43","1,903","1,455.1","1,375.8","6.60","9.13","1.96%","1.80%"
"China","CHN","21,229.4","22,492.6","22,996.4","24,861.3","15,496","16,652","17,189","19,338","3.73","3.82","3.79","3.67","3.54","3.54","3.57","0","3.57","762","501.10","535.10","4.60","4.82","1.74%","1.90%"
"Colombia","COL","710.90","733.50","681.80","753.90","15,044","15,673","14,868","16,894","4.63","4.47","4.48","4.54","4.45","4.51","4.93","0","4.93","853","513.20","495.30","9.90","14.34","3.40%","3.20%"
"Comoros","COM","2.60","2.60","2.60","2.70","3,147","3,188","3,148","3,284","2.74","2.55","0","0","0","0","0","0","0","121","69.40","72.30","20","9.45","0.00%","0.00%"
"Congo (Dem. Rep.)","COD","91.30","95.30","96.90","102.50","1,112","1,144","1,142","1,219","1.95","2.17","2.12","1.45","0","0","2.45","2.70","2.70","34","18.50","20.60","3.60","5.43","0.56%","2.70%"
